"filename", "language", "Python", "JavaScript", "SCSS", "CSS", "comment", "blank", "total"
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap-grid.css", "CSS", 0, 0, 0, -3908, -7, -1136, -5051
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, -1, -6, 0, -7
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 0, -3908, -7, -1135, -5050
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, -1, -6, 0, -7
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap-reboot.css", "CSS", 0, 0, 0, -403, -16, -66, -485
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, -1, -7, 0, -8
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, -409, -8, -65, -482
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 0, -1, -7, 0, -8
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap-utilities.css", "CSS", 0, 0, 0, -3729, -9, -1128, -4866
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap-utilities.min.css", "CSS", 0, 0, 0, -1, -6, 0, -7
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, -3725, -7, -1125, -4857
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, -1, -6, 0, -7
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap.css", "CSS", 0, 0, 0, -9497, -27, -1742, -11266
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, -2, -5, 0, -7
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap.rtl.css", "CSS", 0, 0, 0, -9499, -7, -1736, -11242
"d:\UAC TRY-1\static\assets\bootstrap\css\bootstrap.rtl.min.css", "CSS", 0, 0, 0, -2, -5, 0, -7
"d:\UAC TRY-1\static\assets\bootstrap\js\bootstrap.bundle.js", "JavaScript", 0, -4855, 0, 0, -600, -1358, -6813
"d:\UAC TRY-1\static\assets\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 0, -1, 0, 0, -6, 0, -7
"d:\UAC TRY-1\static\assets\bootstrap\js\bootstrap.esm.js", "JavaScript", 0, -3432, 0, 0, -495, -1073, -5000
"d:\UAC TRY-1\static\assets\bootstrap\js\bootstrap.esm.min.js", "JavaScript", 0, -1, 0, 0, -6, 0, -7
"d:\UAC TRY-1\static\assets\bootstrap\js\bootstrap.js", "JavaScript", 0, -3469, 0, 0, -501, -1077, -5047
"d:\UAC TRY-1\static\assets\bootstrap\js\bootstrap.min.js", "JavaScript", 0, -1, 0, 0, -6, 0, -7
"d:\UAC TRY-1\static\assets\bootstrap\js\popper.min.js", "JavaScript", 0, -236, 0, 0, -3, -38, -277
"d:\UAC TRY-1\static\assets\default\css\style.css", "CSS", 0, 0, 0, -156, -1, -29, -186
"d:\UAC TRY-1\static\assets\default\js\jquery-3.6.0.min.js", "JavaScript", 0, -1596, 0, 0, 0, -71, -1667
"d:\UAC TRY-1\static\assets\default\js\script.js", "JavaScript", 0, 0, 0, 0, 0, -1, -1
"d:\UAC TRY-1\static\assets\select2\dist\css\select2.css", "CSS", 0, 0, 0, -478, 0, -60, -538
"d:\UAC TRY-1\static\assets\select2\dist\css\select2.min.css", "CSS", 0, 0, 0, -1, 0, -1, -2
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\af.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\ar.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\az.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\bg.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
