"filename", "language", "CSS", "HTML", "comment", "blank", "total"
"d:\UAC TRY-1\static\uac\styles\404.css", "CSS", 60, 0, 0, 5, 65
"d:\UAC TRY-1\static\uac\styles\about.css", "CSS", 479, 0, 4, 76, 559
"d:\UAC TRY-1\static\uac\styles\base.css", "CSS", 174, 0, 2, 38, 214
"d:\UAC TRY-1\static\uac\styles\goods.css", "CSS", 279, 0, 2, 54, 335
"d:\UAC TRY-1\static\uac\styles\home.css", "CSS", 635, 0, 5, 81, 721
"d:\UAC TRY-1\static\uac\styles\more.css", "CSS", 569, 0, 10, 73, 652
"d:\UAC TRY-1\static\uac\styles\payment_success.css", "CSS", 654, 0, 0, 19, 673
"d:\UAC TRY-1\static\uac\styles\reserve.css", "CSS", 190, 0, 2, 42, 234
"d:\UAC TRY-1\static\uac\styles\result1.css", "CSS", 699, 0, 63, 86, 848
"d:\UAC TRY-1\static\uac\styles\select.css", "CSS", 371, 0, 2, 71, 444
"d:\UAC TRY-1\static\uac\styles\ships.css", "CSS", 486, 0, 8, 68, 562
"d:\UAC TRY-1\static\uac\styles\success.css", "CSS", 294, 0, 2, 63, 359
"d:\UAC TRY-1\static\uac\styles\test1.css", "CSS", 257, 0, 2, 58, 317
"d:\UAC TRY-1\static\uac\styles\tickets.css", "CSS", 252, 0, 2, 51, 305
"d:\UAC TRY-1\static\uac\styles\transport.css", "CSS", 0, 0, 0, 1, 1
"d:\UAC TRY-1\static\uac\styles\xwing.css", "CSS", 340, 0, 5, 53, 398
"d:\UAC TRY-1\templates\404.html", "HTML", 0, -116, 0, -10, -126
"d:\UAC TRY-1\templates\about.html", "HTML", 0, -244, 0, -73, -317
"d:\UAC TRY-1\templates\goods.html", "HTML", 0, -274, -1, -48, -323
"d:\UAC TRY-1\templates\home.html", "HTML", 0, -302, -3, -89, -394
"d:\UAC TRY-1\templates\more.html", "HTML", 0, -268, -6, -104, -378
"d:\UAC TRY-1\templates\payment_success.html", "HTML", 0, -52, 0, -19, -71
"d:\UAC TRY-1\templates\select.html", "HTML", 0, -204, 0, -46, -250
"d:\UAC TRY-1\templates\ships.html", "HTML", 0, -225, -5, -76, -306
"d:\UAC TRY-1\templates\success.html", "HTML", 0, -47, 0, -15, -62
"d:\UAC TRY-1\templates\transport.html", "HTML", 0, -75, 0, -7, -82
"d:\UAC TRY-1\templates\xwing.html", "HTML", 0, -194, -4, -45, -243
"Total", "-", 5739, -2001, 90, 307, 4135
